NAME	B cell	T cell	ciliated columnar cell of tracheobronchial tree	classical monocyte	leukocyte	lung endothelial cell	myeloid cell	natural killer cell	stromal cell
A230046K03Rik	19.9717719871531	1	1	77.9077350939232	1	1	28.4228494354803	1	1
A2ld1	1	82.7774209499849	1	1	1	1	1	1	1
A330021E22Rik	1	1	160.808612192189	1	1	1	1	1	1
A430035B10Rik	57.350597612207	1	1	1	1	1	1	1	1
A430084P05Rik	1	1	1	1	1	1	228.860520562458	148.845880335949	1
A430107O13Rik	1	1	1	1	1	1	1	1	125.168756232203
A630001G21Rik	88.8561461792375	1	1	1	1	1	1	1	1
A630007B06Rik	1	1	53.0791398403523	1	166.275977245807	1	25.1950772817929	1	60.5283212018714
A830007P12Rik	1	1	1	1	1	1	45.9248483311628	126.426551380411	1
A930005H10Rik	133.213851140532	144.408864430584	1	1	1	1	1	1	1
AA467197	1	1	1	1	1	1	104.89892992195	1	1
AA960436	374.594724492911	1	80.2639092250389	1	1	1	1	1	1
AB124611	163.250414084982	1	37.733420411451	433.406690192588	667.581560954367	1	93.9993516543623	97.3120995058909	1
AF251705	1	1	1	293.700198189409	129.509353014393	1	139.519280071287	1	1
AI314976	165.218047046688	56.1530623714558	124.93822453841	1	1	1	83.8441439270188	1	104.810870557622
AI413582	1	81.008918941062	1	95.2209062228304	1	1	281.480040941427	102.901314063498	1
AI597468	1	1	1	1	1	18.8759140958111	1	1	194.930257168811
AI607873	1	1	1	162.957274948381	1	1	51.0600375552632	1	1
AI662270	1	34.0468617428803	1	86.3767262052902	1	1	147.372895622553	328.375576845224	1
AI836003	1	1	1	1	1	174.238080952108	1	1	1
AI848100	1	28.6964757054582	27.4629483624058	1	1	1	1	174.254562811119	1
AK129341	1	1	224.208581647329	1	1	1	1	1	1
AU021034	1	1	314.251824849145	1	1	1	1	1	1
AU040972	1	1	142.217908718481	1	1	1	1	1	1
AW112010	1	833.695772144656	123.22878262384	38.7046860820833	1	216.042951538567	146.169072801809	6162.66537758058	39.3872429028156
Aaas	1	1	1	71.5158643292481	1	1	281.662923077606	139.13499583881	1
Aarsd1	168.876875867024	1	110.108815036979	1	1	1	1	1	17.5273768023001
Aatf	1	29.8943209922882	1	33.0244684553882	1	1	1	1	1
Abca7	1	1	1	37.8008971732885	1	1	1	1	1
Abca8a	1	1	1	1	1	1	1	1	224.720480092145
Abca9	1	1	1	61.5889632779547	1	1	54.1857817717497	1	1
Abcb8	1	1	99.3432737486633	1	1	1	1	1	1
