,B cell,T cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,leukocyte,lung endothelial cell,myeloid cell,natural killer cell,stromal cell
0,0.109967396,0.047153316,0.028406443,0.14324601,0.05618411,0.22702263,0.27315298,0.08528543,0.029581705
1,0.054760642,0.22087362,0.039885785,0.09139286,0.09053887,0.03749951,0.13944851,0.060146082,0.26545405
2,0.032957416,0.08453104,0.26285544,0.04948878,0.021384358,0.029400686,0.22563766,0.27023152,0.02351311
3,0.047498137,0.05371877,0.21541432,0.3812943,0.04297953,0.04948117,0.06639512,0.05642573,0.086792864
4,0.045458097,0.061947145,0.0856147,0.28952286,0.072381325,0.10401373,0.1299178,0.15056953,0.060574822
5,0.05822784,0.055015136,0.037738286,0.26674616,0.097698405,0.05092044,0.18338813,0.1835527,0.0667129
6,0.060084593,0.05005118,0.19361477,0.33067366,0.07623915,0.08884938,0.086304046,0.06651584,0.047667347
7,0.061358586,0.058819372,0.043537203,0.23622812,0.043366533,0.07368458,0.22398934,0.10433816,0.15467806
8,0.11559145,0.10544393,0.06398089,0.16908361,0.04818847,0.13441865,0.075447,0.16665508,0.12119099
9,0.058479067,0.054242264,0.1490149,0.42611817,0.058899295,0.05334009,0.07829152,0.06095656,0.060658082
10,0.08457058,0.070824295,0.08989212,0.11261655,0.03420195,0.150355,0.07445874,0.33680496,0.046275795
11,0.08441377,0.06140078,0.1102467,0.2832723,0.111006856,0.12469446,0.11174402,0.039243463,0.07397765
12,0.07670152,0.047985397,0.06572414,0.11700907,0.06226784,0.19047698,0.12828286,0.27118757,0.040364593
13,0.035888728,0.05394351,0.5695056,0.07592243,0.03151795,0.027009953,0.06111473,0.08676927,0.05832782
14,0.09898424,0.16323964,0.040051155,0.121482804,0.028863395,0.08238783,0.260172,0.10985068,0.09496822
15,0.06470739,0.14820477,0.29382595,0.03928538,0.16582578,0.025071494,0.14619651,0.04235489,0.07452776
16,0.049665548,0.034633536,0.49062183,0.08383534,0.03152773,0.06573538,0.048138246,0.02943007,0.16641231
17,0.03776174,0.0564338,0.20636183,0.20963563,0.03292411,0.10966179,0.11569199,0.09897209,0.13255697
18,0.034600727,0.05266235,0.13581093,0.13903278,0.06597193,0.026521524,0.2869071,0.15421027,0.10428235
19,0.14463735,0.13798465,0.24944063,0.0284908,0.046435248,0.21048848,0.080028035,0.067458294,0.03503644
20,0.048031013,0.09178349,0.04133624,0.34012327,0.046423174,0.13313344,0.17049362,0.052784923,0.07589085
21,0.05563871,0.09991513,0.18915026,0.10934427,0.026620712,0.04577647,0.20607364,0.07838376,0.1890971
22,0.0470953,0.11152066,0.05617127,0.36942112,0.038931146,0.040385053,0.07569138,0.20416182,0.056622192
23,0.2186448,0.08967702,0.1279855,0.041904356,0.03495861,0.2511313,0.06908612,0.13113263,0.035479665
24,0.04588355,0.059942804,0.06944782,0.3410376,0.17807715,0.12798518,0.055891626,0.047162697,0.074571595
