,B cell,T cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,leukocyte,lung endothelial cell,myeloid cell,natural killer cell,stromal cell
0,0.054741863,0.12826982,0.045620814,0.4832743,0.06423837,0.0455299,0.0655815,0.053040635,0.05970279
1,0.033399355,0.02948271,0.6602499,0.06556614,0.026762722,0.02630953,0.033750504,0.08359181,0.040887345
2,0.033199847,0.030252853,0.245738,0.053557787,0.2629265,0.022270277,0.25217253,0.02869272,0.07118945
3,0.043388188,0.05022161,0.044982858,0.30612838,0.10060225,0.047268324,0.055130687,0.039588828,0.3126889
4,0.0328118,0.03451487,0.026896618,0.08949367,0.025322719,0.33697253,0.3969936,0.026604682,0.030389464
5,0.053110085,0.08302151,0.04782935,0.12983075,0.031994194,0.034769174,0.54254067,0.037667386,0.039236918
6,0.02918579,0.05993983,0.024974734,0.065744035,0.03188572,0.037835106,0.26396382,0.46219942,0.024271596
7,0.057845425,0.057500537,0.08587252,0.5221307,0.048279554,0.04694102,0.06672549,0.04717325,0.0675315
8,0.06476351,0.066494554,0.04673064,0.48804638,0.047888543,0.046301126,0.12176425,0.056336675,0.061674286
9,0.026513103,0.03996516,0.03305989,0.14073314,0.025730642,0.627824,0.04437875,0.026206434,0.035588887
10,0.0559284,0.05885766,0.042552244,0.40245247,0.097812496,0.072427675,0.06351787,0.14533798,0.06111325
11,0.023136312,0.07993851,0.02634462,0.046668362,0.020623172,0.50957674,0.0490622,0.22102818,0.023621844
12,0.03012423,0.037820946,0.031967692,0.11924602,0.02570215,0.46141014,0.045434516,0.026723595,0.22157075
13,0.020780288,0.04882262,0.05132584,0.037899166,0.18373814,0.4063121,0.033432234,0.19822924,0.019460348
14,0.045769796,0.23891462,0.02546795,0.04644484,0.018305069,0.5228041,0.04976226,0.029178109,0.023353282
15,0.029631067,0.2368434,0.46292624,0.043804806,0.10921827,0.019765746,0.03888311,0.037375186,0.021552216
16,0.03082449,0.03027915,0.48041946,0.15573116,0.027317753,0.17495733,0.038947552,0.027026461,0.034496665
17,0.029087096,0.038814735,0.033434585,0.046982773,0.451833,0.026435725,0.04176917,0.2658206,0.065822296
18,0.54389584,0.0594945,0.027933119,0.06297971,0.027067766,0.028045088,0.085553356,0.13286333,0.03216736
19,0.056433603,0.05917677,0.049740516,0.5462593,0.05065881,0.04875847,0.06940226,0.048461672,0.07110861
20,0.034273684,0.027705248,0.69456,0.07150639,0.04096804,0.02646142,0.032443993,0.028496942,0.043584332
21,0.039215345,0.040077824,0.036294546,0.07878014,0.6534967,0.035389174,0.047946803,0.037330523,0.03146897
22,0.45926514,0.07574501,0.02723754,0.054557197,0.024793215,0.0264834,0.079328544,0.22723737,0.025352528
23,0.056429297,0.059331246,0.049811453,0.54544455,0.049582668,0.05162813,0.06817895,0.048449185,0.07114444
24,0.038273282,0.064171664,0.034501236,0.06999535,0.6398425,0.0312379,0.038165476,0.053529777,0.030282812
25,0.045909837,0.052450206,0.059497382,0.11289619,0.0399745,0.043279685,0.05713264,0.04730891,0.5415507
26,0.02974172,0.058721058,0.03052722,0.06848195,0.030446768,0.03447902,0.050162274,0.665534,0.031906083
27,0.03471026,0.034218796,0.4446394,0.056952156,0.029480051,0.029238882,0.038102314,0.031618904,0.30103925
28,0.4077596,0.049885754,0.030309597,0.05260949,0.027800517,0.031140525,0.06784044,0.030822879,0.30183122
29,0.03122643,0.06857146,0.03175114,0.050243095,0.030368619,0.030943936,0.04318555,0.4226006,0.29110917
30,0.04451518,0.046863157,0.03646771,0.081330925,0.035092484,0.037460458,0.25492176,0.036502495,0.42684582
31,0.033517126,0.027463255,0.5181258,0.0743761,0.025832502,0.02356102,0.23420282,0.030925913,0.031995445
32,0.24435024,0.17029637,0.0738339,0.20210502,0.02883064,0.030176153,0.121081986,0.094434045,0.034891672
33,0.06894095,0.041035395,0.10175903,0.124486595,0.032135986,0.028427983,0.5263948,0.03770751,0.039111774
