,B cell,T cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,leukocyte,lung endothelial cell,myeloid cell,natural killer cell,stromal cell
0,0.05302517,0.07539223,0.11616336,0.22564512,0.06254984,0.07116109,0.084411815,0.14773442,0.16391698
1,0.05260955,0.1308367,0.16703074,0.09670951,0.047772367,0.07206443,0.11891743,0.1751937,0.13886552
2,0.063316725,0.1148094,0.12917694,0.25780034,0.05402679,0.06033507,0.13869312,0.0885094,0.09333221
3,0.07446687,0.14655899,0.14591469,0.12769108,0.07853298,0.11695921,0.138742,0.11289575,0.058238424
4,0.062084768,0.100954644,0.13466236,0.22523819,0.04811551,0.07367404,0.092680834,0.18191773,0.080671854
5,0.046456836,0.07790453,0.16927086,0.097982004,0.07579637,0.045834977,0.18688917,0.12852843,0.17133674
6,0.10790885,0.15976647,0.14373833,0.11429948,0.043038372,0.0866602,0.13383734,0.15160841,0.05914254
7,0.064401396,0.068191245,0.09041966,0.15064438,0.05722097,0.066970214,0.16724963,0.10574514,0.2291573
8,0.078242406,0.12808932,0.16816643,0.13912752,0.10280455,0.08561395,0.08546518,0.0964008,0.11608985
9,0.049123477,0.09349744,0.06309779,0.26017648,0.07868462,0.09901241,0.089330405,0.16374877,0.10332866
10,0.063463055,0.09177957,0.15134563,0.24863692,0.06517917,0.044929393,0.1000678,0.11824698,0.11635152
11,0.078247376,0.06410723,0.22234999,0.13255817,0.06346324,0.05072835,0.09856095,0.085001476,0.20498323
12,0.07268589,0.08903755,0.14207461,0.22422071,0.05356685,0.077697925,0.11323645,0.1099244,0.11755565
13,0.055187415,0.08888027,0.09542868,0.20537543,0.04323092,0.07634337,0.15186332,0.14702742,0.13666312
14,0.054850947,0.07285719,0.1813221,0.18075961,0.044353027,0.06575101,0.2283829,0.1017591,0.06996409
15,0.054289512,0.074104644,0.18458231,0.20889342,0.08337908,0.06810919,0.09021347,0.13724664,0.09918175
16,0.067036524,0.10365385,0.12388004,0.19450547,0.06910573,0.10058375,0.1344874,0.13147742,0.07526984
17,0.05565527,0.09132876,0.105445065,0.23692974,0.07512422,0.111598395,0.10210427,0.121644355,0.10016993
18,0.08391307,0.10680823,0.08949605,0.15281178,0.061545175,0.043430194,0.16193789,0.18464631,0.11541124
19,0.06864142,0.078643315,0.12591943,0.19629765,0.06988154,0.08630818,0.21569595,0.084064536,0.07454803
20,0.03743256,0.11857263,0.18948498,0.16321686,0.052956466,0.087732434,0.07666388,0.10712519,0.16681507
21,0.06709161,0.08031918,0.10762134,0.19797401,0.07191283,0.06881715,0.14633052,0.09898094,0.16095248
22,0.08886866,0.11392323,0.17879061,0.15352863,0.09258652,0.06029248,0.10877414,0.1191757,0.08406002
23,0.0589527,0.075106464,0.13868706,0.22977108,0.060480673,0.06872974,0.16882634,0.13778281,0.06166312
24,0.06704886,0.119125694,0.098299064,0.24024701,0.07224982,0.08644491,0.10404358,0.10060572,0.11193528
25,0.06964347,0.08999732,0.14117354,0.2356582,0.088026054,0.069180354,0.08757205,0.09904347,0.11970547
26,0.053853337,0.1329132,0.11410726,0.12284006,0.059245076,0.04666293,0.17317872,0.11694022,0.18025918
27,0.0652857,0.07279983,0.08642302,0.2860594,0.060855903,0.080331616,0.14356448,0.083986774,0.12069327
28,0.048013505,0.072895706,0.2388796,0.18646,0.060030166,0.0672344,0.14203645,0.1014276,0.08302257
